KT,YT,TAZE HAVA ORANI,,T1 ENTHALPY,TAZE HAVA,DÖNÜ? HAVASI,DÖNÜ? HAVASI ENTHALPY,KT,YT,Tmix Enthalpy,,,ÜFLEME ENTHALPY 15 C,TOPLU HAVA DEB?S?,Enthalpy Fark?,13,14,15,16,17,18,19,20,21,22,23,24
40,25,0,4025027,75.83,0,10000,55.69,27,50%,55.69,,,44.78,,2.61,,,,,,,,,,,,
40,25,5,4025527,,500,9500,55.69,27,,56.66,,,44.78,,2.84,,,,,,,,,,,,
40,25,10,40251027,,1000,9000,55.69,27,50%,57.62,,,44.78,,3.07,,,,,,,,,,,,
40,25,15,40251527,,1500,8500,55.69,27,,58.60,,,44.78,,3.30,,,,,,,,,,,,
40,25,20,40252027,,2000,8000,55.69,27,50%,59.57,,,44.78,,3.53,,,,,,,,,,,,
40,25,25,40252527,,2500,7500,55.69,27,,60.56,,,44.78,,3.77,,,,,,,,,,,,
40,25,30,40253027,,3000,7000,55.69,27,50%,61.54,,,44.78,,4.00,,,,,,,,,,,,
40,25,35,40253527,,3500,6500,55.69,27,,62.53,,,44.78,,4.24,,,,,,,,,,,,
40,25,40,40254027,,4000,6000,55.69,27,50%,63.52,,,44.78,,4.48,,,,,,,,,,,,
40,25,45,40254527,,4500,5500,55.69,27,,64.53,,,44.78,,4.72,,,,,,,,,,,,
40,25,50,40255027,,5000,5000,55.69,27,50%,65.53,,,44.78,,4.96,,,,,,,,,,,,
40,25,55,40255527,,5500,4500,55.69,27,,66.54,,,44.78,,5.20,,,,,,,,,,,,
40,25,60,40256027,,6000,4000,55.69,27,50%,67.55,,,44.78,,5.44,,,,,,,,,,,,
40,25,65,40256527,,6500,3500,55.69,27,,68.57,,,44.78,,5.68,,,,,,,,,,,,
40,25,70,40257027,,7000,3000,55.69,27,50%,69.59,,,44.78,,5.93,,,,,,,,,,,,
40,25,75,40257527,,7500,2500,55.69,27,,70.62,,,44.78,,6.17,,,,,,,,,,,,
40,25,80,40258027,,8000,2000,55.69,27,50%,71.65,,,44.78,,6.42,,,,,,,,,,,,
40,25,85,40258527,,8500,1500,55.69,27,,72.69,,,44.78,,6.67,,,,,,,,,,,,
40,25,90,40259027,,9000,1000,55.69,27,50%,73.73,,,44.78,,6.91,,,,,,,,,,,,
40,25,95,40259527,,9500,500,55.69,27,,74.78,,,44.78,,7.17,,,,,,,,,,,,
40,25,100,402510027,,10000,0,55.69,27,50%,75.83,,,44.78,,7.42,,,,,,,,,,,,
,,,27,,,,55.69,27,,0.00,,,44.78,,-10.70,,,,,,,,,,,,
40,24,0,4024027,71.70,0,10000,55.69,27,50%,55.69,,,44.78,,2.61,,,,,,,,,,,,
40,24,5,4024527,,500,9500,55.69,27,,56.46,,,44.78,,2.79,,,,,,,,,,,,
40,24,10,40241027,,1000,9000,55.69,27,50%,57.23,,,44.78,,2.97,,,,,,,,,,,,
40,24,15,40241527,,1500,8500,55.69,27,,58.01,,,44.78,,3.16,,,,,,,,,,,,
40,24,20,40242027,,2000,8000,55.69,27,50%,58.78,,,44.78,,3.34,,,,,,,,,,,,
40,24,25,40242527,,2500,7500,55.69,27,,59.57,,,44.78,,3.53,,,,,,,,,,,,
40,24,30,40243027,,3000,7000,55.69,27,50%,60.35,,,44.78,,3.72,,,,,,,,,,,,
40,24,35,40243527,,3500,6500,55.69,27,,61.14,,,44.78,,3.91,,,,,,,,,,,,
40,24,40,40244027,,4000,6000,55.69,27,50%,61.93,,,44.78,,4.10,,,,,,,,,,,,
40,24,45,40244527,,4500,5500,55.69,27,,62.73,,,44.78,,4.29,,,,,,,,,,,,
40,24,50,40245027,,5000,5000,55.69,27,50%,63.52,,,44.78,,4.48,,,,,,,,,,,,
40,24,55,40245527,,5500,4500,55.69,27,,64.33,,,44.78,,4.67,,,,,,,,,,,,
40,24,60,40246027,,6000,4000,55.69,27,50%,65.13,,,44.78,,4.86,,,,,,,,,,,,
40,24,65,40246527,,6500,3500,55.69,27,,65.96,,,44.78,,5.06,,,,,,,,,,,,
40,24,70,40247027,,7000,3000,55.69,27,50%,66.79,,,44.78,,5.26,,,,,,,,,,,,
40,24,75,40247527,,7500,2500,55.69,27,,67.59,,,44.78,,5.45,,,,,,,,,,,,
40,24,80,40248027,,8000,2000,55.69,27,50%,68.38,,,44.78,,5.64,,,,,,,,,,,,
40,24,85,40248527,,8500,1500,55.69,27,,69.21,,,44.78,,5.83,,,,,,,,,,,,
40,24,90,40249027,,9000,1000,55.69,27,50%,70.03,,,44.78,,6.03,,,,,,,,,,,,
40,24,95,40249527,,9500,500,55.69,27,,70.87,,,44.78,,6.23,,,,,,,,,,,,
40,24,100,402410027,,10000,0,55.69,27,50%,71.70,,,44.78,,6.43,,,,,,,,,,,,
,,,27,,,,55.69,27,,0.00,,,44.78,,-10.70,,,,,,,,,,,,
40,23,0,4023027,67.70,0,10000,55.69,27,50%,55.69,,,44.78,,2.61,,,,,,,,,,,,
40,23,5,4023527,,500,9500,55.69,27,,56.28,,,44.78,,2.75,,,,,,,,,,,,
40,23,10,40231027,,1000,9000,55.69,27,50%,56.86,,,44.78,,2.89,,,,,,,,,,,,
40,23,15,40231527,,1500,8500,55.69,27,,57.45,,,44.78,,3.02,,,,,,,,,,,,
40,23,20,40232027,,2000,8000,55.69,27,50%,58.03,,,44.78,,3.16,,,,,,,,,,,,
40,23,25,40232527,,2500,7500,55.69,27,,58.62,,,44.78,,3.30,,,,,,,,,,,,
40,23,30,40233027,,3000,7000,55.69,27,50%,59.20,,,44.78,,3.44,,,,,,,,,,,,
40,23,35,40233527,,3500,6500,55.69,27,,59.80,,,44.78,,3.59,,,,,,,,,,,,
40,23,40,40234027,,4000,6000,55.69,27,50%,60.39,,,44.78,,3.73,,,,,,,,,,,,
40,23,45,40234527,,4500,5500,55.69,27,,60.99,,,44.78,,3.87,,,,,,,,,,,,
40,23,50,40235027,,5000,5000,55.69,27,50%,61.59,,,44.78,,4.01,,,,,,,,,,,,
40,23,55,40235527,,5500,4500,55.69,27,,62.20,,,44.78,,4.16,,,,,,,,,,,,
40,23,60,40236027,,6000,4000,55.69,27,50%,62.80,,,44.78,,4.30,,,,,,,,,,,,
40,23,65,40236527,,6500,3500,55.69,27,,63.41,,,44.78,,4.45,,,,,,,,,,,,
40,23,70,40237027,,7000,3000,55.69,27,50%,64.02,,,44.78,,4.60,,,,,,,,,,,,
40,23,75,40237527,,7500,2500,55.69,27,,64.64,,,44.78,,4.74,,,,,,,,,,,,
40,23,80,40238027,,8000,2000,55.69,27,50%,65.25,,,44.78,,4.89,,,,,,,,,,,,
40,23,85,40238527,,8500,1500,55.69,27,,65.87,,,44.78,,5.04,,,,,,,,,,,,
40,23,90,40239027,,9000,1000,55.69,27,50%,66.49,,,44.78,,5.19,,,,,,,,,,,,
40,23,95,40239527,,9500,500,55.69,27,,67.12,,,44.78,,5.33,,,,,,,,,,,,
40,23,100,402310027,,10000,0,55.69,27,50%,67.74,,,44.78,,5.48,,,,,,,,,,,,
,,,27,,,,55.69,27,,0.00,,,44.78,,-10.70,,,,,,,,,,,,
40,22,0,4022027,63.96,0,10000,55.69,27,50%,55.69,,,44.78,,2.61,,,,,,,,,,,,
40,22,5,4022527,,500,9500,55.69,27,,56.09,,,44.78,,2.70,,,,,,,,,,,,
40,22,10,40221027,,1000,9000,55.69,27,50%,56.49,,,44.78,,2.80,,,,,,,,,,,,
40,22,15,40221527,,1500,8500,55.69,27,,56.90,,,44.78,,2.89,,,,,,,,,,,,
40,22,20,40222027,,2000,8000,55.69,27,50%,57.30,,,44.78,,2.99,,,,,,,,,,,,
40,22,25,40222527,,2500,7500,55.69,27,,57.71,,,44.78,,3.09,,,,,,,,,,,,
40,22,30,40223027,,3000,7000,55.69,27,50%,58.11,,,44.78,,3.18,,,,,,,,,,,,
40,22,35,40223527,,3500,6500,55.69,27,,58.52,,,44.78,,3.28,,,,,,,,,,,,
40,22,40,40224027,,4000,6000,55.69,27,50%,58.92,,,44.78,,3.38,,,,,,,,,,,,
40,22,45,40224527,,4500,5500,55.69,27,,59.33,,,44.78,,3.48,,,,,,,,,,,,
40,22,50,40225027,,5000,5000,55.69,27,50%,59.74,,,44.78,,3.57,,,,,,,,,,,,
40,22,55,40225527,,5500,4500,55.69,27,,60.16,,,44.78,,3.67,,,,,,,,,,,,
40,22,60,40226027,,6000,4000,55.69,27,50%,60.57,,,44.78,,3.77,,,,,,,,,,,,
40,22,65,40226527,,6500,3500,55.69,27,,60.99,,,44.78,,3.87,,,,,,,,,,,,
40,22,70,40227027,,7000,3000,55.69,27,50%,61.41,,,44.78,,3.97,,,,,,,,,,,,
40,22,75,40227527,,7500,2500,55.69,27,,61.83,,,44.78,,4.07,,,,,,,,,,,,
40,22,80,40228027,,8000,2000,55.69,27,50%,62.25,,,44.78,,4.17,,,,,,,,,,,,
40,22,85,40228527,,8500,1500,55.69,27,,62.68,,,44.78,,4.27,,,,,,,,,,,,
40,22,90,40229027,,9000,1000,55.69,27,50%,63.10,,,44.78,,4.38,,,,,,,,,,,,
40,22,95,40229527,,9500,500,55.69,27,,63.53,,,44.78,,4.48,,,,,,,,,,,,
40,22,100,402210027,,10000,0,55.69,27,50%,63.96,,,44.78,,4.58,,,,,,,,,,,,
,,,27,,,,55.69,27,,0.00,,,44.78,,-10.70,,,,,,,,,,,,
40,21,0,4021027,60.33,0,10000,55.69,27,50%,55.69,,,44.78,,2.61,,,,,,,,,,,,
40,21,5,4021527,,500,9500,55.69,27,,55.92,,,44.78,,2.66,,,,,,,,,,,,
40,21,10,40211027,,1000,9000,55.69,27,50%,56.14,,,44.78,,2.71,,,,,,,,,,,,
40,21,15,40211527,,1500,8500,55.69,27,,56.37,,,44.78,,2.77,,,,,,,,,,,,
40,21,20,40212027,,2000,8000,55.69,27,50%,56.59,,,44.78,,2.82,,,,,,,,,,,,
40,21,25,40212527,,2500,7500,55.69,27,,56.82,,,44.78,,2.88,,,,,,,,,,,,
40,21,30,40213027,,3000,7000,55.69,27,50%,57.05,,,44.78,,2.93,,,,,,,,,,,,
40,21,35,40213527,,3500,6500,55.69,27,,57.28,,,44.78,,2.99,,,,,,,,,,,,
40,21,40,40214027,,4000,6000,55.69,27,50%,57.51,,,44.78,,3.04,,,,,,,,,,,,
40,21,45,40214527,,4500,5500,55.69,27,,57.74,,,44.78,,3.10,,,,,,,,,,,,
40,21,50,40215027,,5000,5000,55.69,27,50%,57.97,,,44.78,,3.15,,,,,,,,,,,,
40,21,55,40215527,,5500,4500,55.69,27,,58.20,,,44.78,,3.21,,,,,,,,,,,,
40,21,60,40216027,,6000,4000,55.69,27,50%,58.43,,,44.78,,3.26,,,,,,,,,,,,
40,21,65,40216527,,6500,3500,55.69,27,,58.67,,,44.78,,3.32,,,,,,,,,,,,
40,21,70,40217027,,7000,3000,55.69,27,50%,58.90,,,44.78,,3.37,,,,,,,,,,,,
40,21,75,40217527,,7500,2500,55.69,27,,59.14,,,44.78,,3.43,,,,,,,,,,,,
40,21,80,40218027,,8000,2000,55.69,27,50%,59.37,,,44.78,,3.48,,,,,,,,,,,,
40,21,85,40218527,,8500,1500,55.69,27,,59.61,,,44.78,,3.54,,,,,,,,,,,,
40,21,90,40219027,,9000,1000,55.69,27,50%,59.85,,,44.78,,3.60,,,,,,,,,,,,
40,21,95,40219527,,9500,500,55.69,27,,60.09,,,44.78,,3.66,,,,,,,,,,,,
40,21,100,402110027,,10000,0,55.69,27,50%,60.33,,,44.78,,3.71,,,,,,,,,,,,
,,,27,,,,,27,,0.00,,,44.78,,-10.70,,,,,,,,,,,,
40,20,0,4020027,56.85,0,10000,55.69,27,50%,55.69,,,44.78,,2.61,,,,,,,,,,,,
40,20,5,4020527,,500,9500,55.69,27,,55.75,,,44.78,,2.62,,,,,,,,,,,,
40,20,10,40201027,,1000,9000,55.69,27,50%,55.81,,,44.78,,2.63,,,,,,,,,,,,
40,20,15,40201527,,1500,8500,55.69,27,,55.87,,,44.78,,2.65,,,,,,,,,,,,
40,20,20,40202027,,2000,8000,55.69,27,50%,55.92,,,44.78,,2.66,,,,,,,,,,,,
40,20,25,40202527,,2500,7500,55.69,27,,55.98,,,44.78,,2.67,,,,,,,,,,,,
40,20,30,40203027,,3000,7000,55.69,27,50%,56.03,,,44.78,,2.69,,,,,,,,,,,,
40,20,35,40203527,,3500,6500,55.69,27,,56.09,,,44.78,,2.70,,,,,,,,,,,,
40,20,40,40204027,,4000,6000,55.69,27,50%,56.15,,,44.78,,2.72,,,,,,,,,,,,
40,20,45,40204527,,4500,5500,55.69,27,,56.21,,,44.78,,2.73,,,,,,,,,,,,
40,20,50,40205027,,5000,5000,55.69,27,50%,56.26,,,44.78,,2.74,,,,,,,,,,,,
40,20,55,40205527,,5500,4500,55.69,27,,56.32,,,44.78,,2.76,,,,,,,,,,,,
40,20,60,40206027,,6000,4000,55.69,27,50%,56.38,,,44.78,,2.77,,,,,,,,,,,,
40,20,65,40206527,,6500,3500,55.69,27,,56.44,,,44.78,,2.78,,,,,,,,,,,,
40,20,70,40207027,,7000,3000,55.69,27,50%,56.49,,,44.78,,2.80,,,,,,,,,,,,
40,20,75,40207527,,7500,2500,55.69,27,,56.55,,,44.78,,2.81,,,,,,,,,,,,
40,20,80,40208027,,8000,2000,55.69,27,50%,56.61,,,44.78,,2.83,,,,,,,,,,,,
40,20,85,40208527,,8500,1500,55.69,27,,56.67,,,44.78,,2.84,,,,,,,,,,,,
40,20,90,40209027,,9000,1000,55.69,27,50%,56.73,,,44.78,,2.85,,,,,,,,,,,,
40,20,95,40209527,,9500,500,55.69,27,,56.79,,,44.78,,2.87,,,,,,,,,,,,
40,20,100,402010027,,10000,0,55.69,27,50%,56.85,,,44.78,,2.88,,,,,,,,,,,,
,,,27,,,,55.69,27,,0.00,,,44.78,,-10.70,,,,,,,,,,,,
39,26,0,3926027,80.19,0,10000,55.69,27,50%,55.69,,,44.78,,2.61,,,,,,,,,,,,
39,26,5,3926527,,500,9500,55.69,27,,56.87,,,44.78,,2.89,,,,,,,,,,,,
39,26,10,39261027,,1000,9000,55.69,27,50%,58.04,,,44.78,,3.17,,,,,,,,,,,,
39,26,15,39261527,,1500,8500,55.69,27,,59.23,,,44.78,,3.45,,,,,,,,,,,,
39,26,20,39262027,,2000,8000,55.69,27,50%,60.41,,,44.78,,3.73,,,,,,,,,,,,
39,26,25,39262527,,2500,7500,55.69,27,,61.61,,,44.78,,4.02,,,,,,,,,,,,
39,26,30,39263027,,3000,7000,55.69,27,50%,62.80,,,44.78,,4.30,,,,,,,,,,,,
39,26,35,39263527,,3500,6500,55.69,27,,64.01,,,44.78,,4.59,,,,,,,,,,,,
39,26,40,39264027,,4000,6000,55.69,27,50%,65.22,,,44.78,,4.88,,,,,,,,,,,,
39,26,45,39264527,,4500,5500,55.69,27,,66.44,,,44.78,,5.17,,,,,,,,,,,,
39,26,50,39265027,,5000,5000,55.69,27,50%,67.65,,,44.78,,5.46,,,,,,,,,,,,
39,26,55,39265527,,5500,4500,55.69,27,,68.88,,,44.78,,5.76,,,,,,,,,,,,
39,26,60,39266027,,6000,4000,55.69,27,50%,70.11,,,44.78,,6.05,,,,,,,,,,,,
39,26,65,39266527,,6500,3500,55.69,27,,71.36,,,44.78,,6.35,,,,,,,,,,,,
39,26,70,39267027,,7000,3000,55.69,27,50%,72.60,,,44.78,,6.64,,,,,,,,,,,,
39,26,75,39267527,,7500,2500,55.69,27,,73.85,,,44.78,,6.94,,,,,,,,,,,,
39,26,80,39268027,,8000,2000,55.69,27,50%,75.10,,,44.78,,7.24,,,,,,,,,,,,
39,26,85,39268527,,8500,1500,55.69,27,,76.37,,,44.78,,7.54,,,,,,,,,,,,
39,26,90,39269027,,9000,1000,55.69,27,50%,77.63,,,44.78,,7.85,,,,,,,,,,,,
39,26,95,39269527,,9500,500,55.69,27,,78.91,,,44.78,,8.15,,,,,,,,,,,,
39,26,100,392610027,,10000,0,55.69,27,50%,80.19,,,44.78,,8.46,,,,,,,,,,,,
,,,27,,,,55.69,27,,0.00,,,44.78,,-10.70,,,,,,,,,,,,
39,25,0,3925027,75.87,0,10000,55.69,27,50%,55.19,,,44.78,,2.49,,,,,,,,,,,,
39,25,5,3925527,,500,9500,55.69,27,,56.41,,,44.78,,2.78,,,,,,,,,,,,
39,25,10,39251027,,1000,9000,55.69,27,50%,57.63,,,44.78,,3.07,,,,,,,,,,,,
39,25,15,39251527,,1500,8500,55.69,27,,58.61,,,44.78,,3.30,,,,,,,,,,,,
39,25,20,39252027,,2000,8000,55.69,27,50%,59.59,,,44.78,,3.54,,,,,,,,,,,,
39,25,25,39252527,,2500,7500,55.69,27,,60.58,,,44.78,,3.77,,,,,,,,,,,,
39,25,30,39253027,,3000,7000,55.69,27,50%,61.56,,,44.78,,4.01,,,,,,,,,,,,
39,25,35,39253527,,3500,6500,55.69,27,,62.56,,,44.78,,4.25,,,,,,,,,,,,
39,25,40,39254027,,4000,6000,55.69,27,50%,63.55,,,44.78,,4.48,,,,,,,,,,,,
39,25,45,39254527,,4500,5500,55.69,27,,64.56,,,44.78,,4.72,,,,,,,,,,,,
39,25,50,39255027,,5000,5000,55.69,27,50%,65.56,,,44.78,,4.96,,,,,,,,,,,,
39,25,55,39255527,,5500,4500,55.69,27,,66.58,,,44.78,,5.21,,,,,,,,,,,,
39,25,60,39256027,,6000,4000,55.69,27,50%,67.59,,,44.78,,5.45,,,,,,,,,,,,
39,25,65,39256527,,6500,3500,55.69,27,,68.61,,,44.78,,5.69,,,,,,,,,,,,
39,25,70,39257027,,7000,3000,55.69,27,50%,69.63,,,44.78,,5.94,,,,,,,,,,,,
39,25,75,39257527,,7500,2500,55.69,27,,70.66,,,44.78,,6.18,,,,,,,,,,,,
39,25,80,39258027,,8000,2000,55.69,27,50%,71.69,,,44.78,,6.43,,,,,,,,,,,,
39,25,85,39258527,,8500,1500,55.69,27,,72.73,,,44.78,,6.68,,,,,,,,,,,,
39,25,90,39259027,,9000,1000,55.69,27,50%,73.77,,,44.78,,6.92,,,,,,,,,,,,
39,25,95,39259527,,9500,500,55.69,27,,74.82,,,44.78,,7.17,,,,,,,,,,,,
39,25,100,392510027,,10000,0,55.69,27,50%,75.87,,,44.78,,7.43,,,,,,,,,,,,
,,,27,,,,55.69,27,,0.00,,,44.78,,-10.70,,,,,,,,,,,,
39,24,0,3924027,,0,10000,55.69,27,50%,55.69,,,44.78,,2.61,,,,,,,,,,,,
39,24,5,3924527,,500,9500,55.69,27,,55.69,,,44.78,,2.61,,,,,,,,,,,,
39,24,10,39241027,71.74,1000,9000,55.69,27,50%,55.69,,,44.78,,2.61,,,,,,,,,,,,
39,24,15,39241527,,1500,8500,55.69,27,,57.25,,,44.78,,2.98,,,,,,,,,,,,
39,24,20,39242027,,2000,8000,55.69,27,50%,58.80,,,44.78,,3.35,,,,,,,,,,,,
39,24,25,39242527,,2500,7500,55.69,27,,59.59,,,44.78,,3.54,,,,,,,,,,,,
39,24,30,39243027,,3000,7000,55.69,27,50%,60.37,,,44.78,,3.72,,,,,,,,,,,,
39,24,35,39243527,,3500,6500,55.69,27,,60.71,,,44.78,,3.80,,,,,,,,,,,,
39,24,40,39244027,,4000,6000,55.69,27,50%,61.05,,,44.78,,3.89,,,,,,,,,,,,
39,24,45,39244527,,4500,5500,55.69,27,,62.30,,,44.78,,4.18,,,,,,,,,,,,
39,24,50,39245027,,5000,5000,55.69,27,50%,63.55,,,44.78,,4.48,,,,,,,,,,,,
39,24,55,39245527,,5500,4500,55.69,27,,64.35,,,44.78,,4.67,,,,,,,,,,,,
39,24,60,39246027,,6000,4000,55.69,27,50%,65.15,,,44.78,,4.87,,,,,,,,,,,,
39,24,65,39246527,,6500,3500,55.69,27,,65.97,,,44.78,,5.06,,,,,,,,,,,,
39,24,70,39247027,,7000,3000,55.69,27,50%,66.78,,,44.78,,5.25,,,,,,,,,,,,
39,24,75,39247527,,7500,2500,55.69,27,,67.60,,,44.78,,5.45,,,,,,,,,,,,
39,24,80,39248027,,8000,2000,55.69,27,50%,68.42,,,44.78,,5.65,,,,,,,,,,,,
39,24,85,39248527,,8500,1500,55.69,27,,69.22,,,44.78,,5.84,,,,,,,,,,,,
39,24,90,39249027,,9000,1000,55.69,27,50%,70.01,,,44.78,,6.03,,,,,,,,,,,,
39,24,95,39249527,,9500,500,55.69,27,,70.88,,,44.78,,6.23,,,,,,,,,,,,
39,24,100,392410027,,10000,0,55.69,27,50%,71.74,,,44.78,,6.44,,,,,,,,,,,,
,,,27,,,,55.69,27,,0.00,,,44.78,,-10.70,,,,,,,,,,,,
39,23,0,3923027,67.78,0,10000,55.69,27,50%,55.69,,,44.78,,2.61,,,,,,,,,,,,
39,23,5,3923527,,500,9500,55.69,27,,56.28,,,44.78,,2.75,,,,,,,,,,,,
39,23,10,39231027,,1000,9000,55.69,27,50%,56.86,,,44.78,,2.89,,,,,,,,,,,,
39,23,15,39231527,,1500,8500,55.69,27,,57.45,,,44.78,,3.03,,,,,,,,,,,,
39,23,20,39232027,,2000,8000,55.69,27,50%,58.04,,,44.78,,3.17,,,,,,,,,,,,
39,23,25,39232527,,2500,7500,55.69,27,,58.63,,,44.78,,3.31,,,,,,,,,,,,
39,23,30,39233027,,3000,7000,55.69,27,50%,59.22,,,44.78,,3.45,,,,,,,,,,,,
39,23,35,39233527,,3500,6500,55.69,27,,59.82,,,44.78,,3.59,,,,,,,,,,,,
39,23,40,39234027,,4000,6000,55.69,27,50%,60.42,,,44.78,,3.74,,,,,,,,,,,,
39,23,45,39234527,,4500,5500,55.69,27,,61.02,,,44.78,,3.88,,,,,,,,,,,,
39,23,50,39235027,,5000,5000,55.69,27,50%,61.62,,,44.78,,4.02,,,,,,,,,,,,
39,23,55,39235527,,5500,4500,55.69,27,,62.23,,,44.78,,4.17,,,,,,,,,,,,
39,23,60,39236027,,6000,4000,55.69,27,50%,62.83,,,44.78,,4.31,,,,,,,,,,,,
39,23,65,39236527,,6500,3500,55.69,27,,63.45,,,44.78,,4.46,,,,,,,,,,,,
39,23,70,39237027,,7000,3000,55.69,27,50%,64.06,,,44.78,,4.60,,,,,,,,,,,,
39,23,75,39237527,,7500,2500,55.69,27,,64.68,,,44.78,,4.75,,,,,,,,,,,,
39,23,80,39238027,,8000,2000,55.69,27,50%,65.29,,,44.78,,4.90,,,,,,,,,,,,
39,23,85,39238527,,8500,1500,55.69,27,,65.91,,,44.78,,5.05,,,,,,,,,,,,
39,23,90,39239027,,9000,1000,55.69,27,50%,66.53,,,44.78,,5.19,,,,,,,,,,,,
39,23,95,39239527,,9500,500,55.69,27,,67.16,,,44.78,,5.34,,,,,,,,,,,,
39,23,100,392310027,,10000,0,55.69,27,50%,67.78,,,44.78,,5.49,,,,,,,,,,,,
,,,27,,,,,27,,0.00,,,44.78,,-10.70,,,,,,,,,,,,
39,22,0,3922027,63.99,0,10000,55.69,27,50%,55.69,,,44.78,,2.61,,,,,,,,,,,,
39,22,5,3922527,,500,9500,55.69,27,,56.10,,,44.78,,2.70,,,,,,,,,,,,
39,22,10,39221027,,1000,9000,55.69,27,50%,56.50,,,44.78,,2.80,,,,,,,,,,,,
39,22,15,39221527,,1500,8500,55.69,27,,56.91,,,44.78,,2.90,,,,,,,,,,,,
39,22,20,39222027,,2000,8000,55.69,27,50%,57.31,,,44.78,,2.99,,,,,,,,,,,,
39,22,25,39222527,,2500,7500,55.69,27,,57.72,,,44.78,,3.09,,,,,,,,,,,,
39,22,30,39223027,,3000,7000,55.69,27,50%,58.12,,,44.78,,3.19,,,,,,,,,,,,
39,22,35,39223527,,3500,6500,55.69,27,,58.53,,,44.78,,3.28,,,,,,,,,,,,
39,22,40,39224027,,4000,6000,55.69,27,50%,58.94,,,44.78,,3.38,,,,,,,,,,,,
39,22,45,39224527,,4500,5500,55.69,27,,59.36,,,44.78,,3.48,,,,,,,,,,,,
39,22,50,39225027,,5000,5000,55.69,27,50%,59.77,,,44.78,,3.58,,,,,,,,,,,,
39,22,55,39225527,,5500,4500,55.69,27,,60.19,,,44.78,,3.68,,,,,,,,,,,,
39,22,60,39226027,,6000,4000,55.69,27,50%,60.60,,,44.78,,3.78,,,,,,,,,,,,
39,22,65,39226527,,6500,3500,55.69,27,,61.02,,,44.78,,3.88,,,,,,,,,,,,
39,22,70,39227027,,7000,3000,55.69,27,50%,61.44,,,44.78,,3.98,,,,,,,,,,,,
39,22,75,39227527,,7500,2500,55.69,27,,61.86,,,44.78,,4.08,,,,,,,,,,,,
39,22,80,39228027,,8000,2000,55.69,27,50%,62.28,,,44.78,,4.18,,,,,,,,,,,,
39,22,85,39228527,,8500,1500,55.69,27,,62.71,,,44.78,,4.28,,,,,,,,,,,,
39,22,90,39229027,,9000,1000,55.69,27,50%,63.14,,,44.78,,4.39,,,,,,,,,,,,
39,22,95,39229527,,9500,500,55.69,27,,63.57,,,44.78,,4.49,,,,,,,,,,,,
39,22,100,392210027,,10000,0,55.69,27,50%,63.99,,,44.78,,4.59,,,,,,,,,,,,
,,,27,,,,55.69,27,,0.00,,,44.78,,-10.70,,,,,,,,,,,,
