KT,YT,TAZE HAVA ORANI,concat,TAZE HAVA,DÖNÜ? HAVASI,DÖNÜ? HAVASI ENTHALPY,KT,YT,Tmix Enthalpy,ÜFLEME ENTHALPY 15 C,Enthalpy Fark?,13,14,15,16,17,18,19,20,21,22,23,24
40,21,20,40212055.69,2000,8000,55.69,27,50%,56.59,44.78,2.82,,,,,,,,,,,,
40,21,25,40212555.69,2500,7500,55.69,27,,56.82,44.78,2.88,,,,,,,,,,,,
40,21,30,40213055.69,3000,7000,55.69,27,50%,57.05,44.78,2.93,,,,,,,,,,,,
40,21,35,40213555.69,3500,6500,55.69,27,,57.28,44.78,2.99,,,,,,,,,,,,
40,21,40,40214055.69,4000,6000,55.69,27,50%,57.51,44.78,3.04,,,,,,,,,,,,
40,21,45,40214555.69,4500,5500,55.69,27,,57.74,44.78,3.10,,,,,,,,,,,,
40,21,50,40215055.69,5000,5000,55.69,27,50%,57.97,44.78,3.15,,,,,,,,,,,,
40,21,55,40215555.69,5500,4500,55.69,27,,58.20,44.78,3.21,,,,,,,,,,,,
40,21,60,40216055.69,6000,4000,55.69,27,50%,58.43,44.78,3.26,,,,,,,,,,,,
40,21,65,40216555.69,6500,3500,55.69,27,,58.67,44.78,3.32,,,,,,,,,,,,
40,21,70,40217055.69,7000,3000,55.69,27,50%,58.90,44.78,3.37,,,,,,,,,,,,
40,21,75,40217555.69,7500,2500,55.69,27,,59.14,44.78,3.43,,,,,,,,,,,,
40,21,80,40218055.69,8000,2000,55.69,27,50%,59.37,44.78,3.48,,,,,,,,,,,,
40,21,85,40218555.69,8500,1500,55.69,27,,59.61,44.78,3.54,,,,,,,,,,,,
40,21,90,40219055.69,9000,1000,55.69,27,50%,59.85,44.78,3.60,,,,,,,,,,,,
40,21,95,40219555.69,9500,500,55.69,27,,60.09,44.78,3.66,,,,,,,,,,,,
40,21,100,402110055.69,10000,0,55.69,27,50%,60.33,44.78,3.71,,,,,,,,,,,,
,,,,,,,27,,0.00,44.78,-10.70,,,,,,,,,,,,
40,20,0,4020055.69,0,10000,55.69,27,50%,55.69,44.78,2.61,,,,,,,,,,,,
